Timestamp,Open,High,Low,Close,Volume
1574294400000,0.065827,0.069145,0.06444,0.068593,31999.33
1574380800000,0.068573,0.069631,0.063302,0.064677,49775.11
1574467200000,0.0646,0.066307,0.063416,0.065995,21805.75
1574553600000,0.065826,0.065826,0.063214,0.064353,21977.91
1574640000000,0.064339,0.064347,0.061924,0.062206,50486.71
1574726400000,0.062146,0.062982,0.061458,0.062893,20720.79
1574812800000,0.062893,0.06309,0.0612,0.06197,22161.61
1574899200000,0.061815,0.062857,0.061328,0.06153,11340.97
1574985600000,0.061643,0.063545,0.061201,0.062902,12894.53
1575072000000,0.062975,0.063301,0.060886,0.061515,17857.06
1575158400000,0.061517,0.062806,0.060977,0.061472,14812.58
1575244800000,0.061451,0.0616,0.059912,0.060131,14330.7
1575331200000,0.060236,0.061431,0.060025,0.060835,11337.68
1575417600000,0.060936,0.061113,0.059148,0.059332,22305.53
1575504000000,0.059254,0.059839,0.05813,0.059055,13121.38
1575590400000,0.058925,0.059546,0.058469,0.058916,7387.28
1575676800000,0.058916,0.062129,0.058903,0.060467,23745.94
1575763200000,0.060605,0.060989,0.059675,0.060068,11121.48
1575849600000,0.060066,0.060274,0.058856,0.059127,9182.61
1575936000000,0.05913,0.059418,0.05832,0.058834,6207.64
1576022400000,0.058827,0.06,0.057841,0.059573,11679.93
1576108800000,0.059573,0.05991,0.058544,0.05969,9046.14
1576195200000,0.059621,0.062906,0.059304,0.061559,18429.76
1576281600000,0.061462,0.063576,0.061294,0.062221,14578.89
1576368000000,0.062067,0.063121,0.061212,0.06265,10284.6
1576454400000,0.06259,0.064877,0.06175,0.063008,22569.75
1576540800000,0.062999,0.06497,0.061968,0.0647,18270.9
1576627200000,0.064682,0.06698,0.063659,0.066166,30639.89
1576713600000,0.066167,0.068454,0.065741,0.06701,20884.05
1576800000000,0.067198,0.067959,0.066776,0.067102,6842.76
1576886400000,0.067212,0.0675,0.066596,0.06698,6241.87
1576972800000,0.066974,0.068458,0.066122,0.067237,11841.96
1577059200000,0.067442,0.068006,0.066225,0.066732,7875.3
1577145600000,0.066723,0.068666,0.066425,0.068098,7102.36
1577232000000,0.068106,0.068993,0.068096,0.068622,7713.32
1577318400000,0.068791,0.069753,0.066917,0.067747,14852.77
1577404800000,0.068017,0.069726,0.067757,0.069122,13160.97
1577491200000,0.069136,0.069456,0.0679,0.068657,9201.95
1577577600000,0.068422,0.07123,0.067719,0.068634,25176.09
1577664000000,0.068617,0.068748,0.067437,0.068121,11505.4
1577750400000,0.06802,0.068747,0.066811,0.067162,9244.73
1577836800000,0.067114,0.068424,0.066551,0.0677,7645.29
1577923200000,0.067654,0.067869,0.0664,0.0668,6545.57
1578009600000,0.066554,0.067899,0.065848,0.066253,12908.8
1578096000000,0.066083,0.067878,0.065871,0.067725,12243.11
1578182400000,0.067454,0.067789,0.066366,0.066625,6974.31
1578268800000,0.06658,0.06901,0.065763,0.067653,19132.57
1578355200000,0.067875,0.068675,0.067158,0.068578,9684.29
1578441600000,0.068579,0.069274,0.067112,0.067112,15673.22
1578528000000,0.067112,0.068924,0.066857,0.068011,8484.28
1578614400000,0.068233,0.06851,0.066526,0.068341,11393.86
1578700800000,0.068168,0.0687,0.067208,0.068187,9460.75
1578787200000,0.068165,0.071888,0.067559,0.070102,12635.69
1578873600000,0.070236,0.070344,0.068503,0.06971,6341.82
1578960000000,0.069775,0.070033,0.066428,0.0678,31949.71
1579046400000,0.067479,0.071654,0.06726,0.068485,25064.16
1579132800000,0.068492,0.069295,0.06688,0.068804,20703.18
1579219200000,0.068746,0.069787,0.0668,0.069511,21729.61
1579305600000,0.069649,0.069736,0.067263,0.068402,20284.38
1579392000000,0.068003,0.069206,0.066,0.067143,20943.33
1579478400000,0.06731,0.067631,0.066577,0.06671,6500.21
1579564800000,0.06671,0.067168,0.06563,0.066227,11739.15
1579651200000,0.066181,0.068009,0.065903,0.067026,8791.56
1579737600000,0.066857,0.066918,0.064394,0.065192,17798.69
1579824000000,0.065136,0.065889,0.064381,0.064666,8140.03
1579910400000,0.064595,0.065049,0.06396,0.064526,8387.81
1579996800000,0.064468,0.064991,0.063966,0.064339,5504.52
1580083200000,0.064407,0.065849,0.064171,0.065302,13224.08
1580169600000,0.065293,0.065571,0.06433,0.064631,10055.94
1580256000000,0.064549,0.065697,0.063849,0.064631,15727.22
1580342400000,0.064315,0.065628,0.063098,0.063522,19577.04
1580428800000,0.063416,0.064125,0.062894,0.063809,11082.65
1580515200000,0.063809,0.064086,0.061678,0.062261,11391.91
1580601600000,0.06225,0.067668,0.061767,0.06379,25688.9
1580688000000,0.063742,0.0645,0.06229,0.062694,15125.36
1580774400000,0.062453,0.065107,0.062001,0.064462,19237.69
1580860800000,0.064361,0.067152,0.061211,0.062619,32820.83
1580947200000,0.062542,0.063189,0.06014,0.060568,23434.84
1581033600000,0.060349,0.060611,0.057116,0.057327,22213.4
1581120000000,0.057282,0.05827,0.056529,0.056894,14128.4
1581206400000,0.056889,0.062109,0.056368,0.062109,42847.56
1581292800000,0.062109,0.062615,0.059707,0.060797,18841.16
1581379200000,0.060674,0.061212,0.058,0.058312,20956.8
1581465600000,0.058312,0.059857,0.0553,0.055787,37835.68
1581552000000,0.055803,0.058333,0.054908,0.056336,33465.64
1581638400000,0.056379,0.061193,0.055972,0.058644,36438.83
1581724800000,0.058316,0.058422,0.054844,0.057113,19972.92
1581811200000,0.056763,0.05843,0.054846,0.056438,47101.45
1581897600000,0.05655,0.058081,0.05503,0.056086,18617.91
1581984000000,0.056207,0.057352,0.05433,0.054836,29829.34
1582070400000,0.05484,0.055609,0.053265,0.054248,17153.71
1582156800000,0.054284,0.0555,0.053549,0.054508,20012.65
1582243200000,0.054566,0.054708,0.052621,0.052833,8849.69
1582329600000,0.052959,0.053062,0.052186,0.052427,9541.15
1582416000000,0.05238,0.053024,0.052065,0.052067,7917.0
